학교ID,학교명,전화번호,설립유형,학생수,학생수남,학생수여,교원수,교원수남,교원수여,공시연도
B000001838,서울휘경초등학교,02-2244-4990,단설,234,125,109,27,2,25,2025
B000001839,서울동답초등학교,,단설,464,217,247,37,2,35,2025
B000001840,서울답십리초등학교,02-2244-6173,단설,800,385,415,66,13,53,2025
B000001841,서울신답초등학교,02-2212-1459,단설,565,290,275,45,4,41,2025
B000001842,서울용두초등학교,926-0588,단설,352,183,169,34,2,32,2025
B000001843,서울이문초등학교,02-959-2025,단설,755,392,363,62,11,51,2025
B000001844,서울군자초등학교,02-2244-0948,단설,252,132,120,28,4,24,2025
B000001845,서울장평초등학교,02-2245-0366,단설,998,542,456,72,11,61,2025
B000001846,서울안평초등학교,02-2214-0257,단설,930,485,445,71,3,68,2025
B000001847,서울배봉초등학교,02-2245-8951,단설,386,203,183,29,4,25,2025
B000001848,서울전동초등학교,02-2245-9538,단설,556,275,281,48,5,43,2025
B000001849,서울전곡초등학교,02-2242-4300,단설,225,118,107,26,2,24,2025
B000001850,서울전농초등학교,02-2244-1883,단설,1149,599,550,74,5,69,2025
B000001851,서울홍파초등학교,02-967-8162,단설,198,104,94,25,4,21,2025
B000001852,서울종암초등학교,02-924-4125,단설,462,247,215,42,2,40,2025
B000001853,서울홍릉초등학교,02-968-4705,단설,237,122,115,23,5,18,2025
B000001854,서울청량초등학교,02-962-1344,단설,569,288,281,62,4,58,2025
B000001855,서울휘봉초등학교,02-2248-4649,병설,618,299,319,49,8,41,2025
B000001856,경희초등학교,,,689,356,333,66,16,50,2025
B000001857,서울삼육초등학교,02-6452-9703,단설,699,348,351,31,6,25,2025
B000001858,은석초등학교,,부속,700,347,353,67,18,49,2025
B000001859,서울면목초등학교,02-491-4342,단설,504,260,244,44,4,40,2025
B000001860,서울면남초등학교,02-433-0190,단설,395,216,179,35,4,31,2025
B000001861,서울동원초등학교,02-438-3143,단설,310,164,146,28,6,22,2025
B000001862,서울면북초등학교,024333339,단설,107,57,50,13,1,12,2025
B000001863,서울망우초등학교,02-2209-6325,단설,282,140,142,22,4,18,2025
B000001864,서울면일초등학교,02-437-8116,단설,540,269,271,50,6,44,2025
B000001866,서울중곡초등학교,02-2209-2547,단설,673,335,338,61,7,54,2025
B000001867,서울면동초등학교,02-434-0942,단설,998,509,489,78,9,69,2025
B000001868,서울중목초등학교,02-2209-0015,병설,359,197,162,37,6,31,2025
B000001869,서울중랑초등학교,,병설,519,255,264,41,5,36,2025
B000001870,서울원묵초등학교,02-3421-2102,단설,912,452,460,70,11,59,2025
B000001871,서울묵현초등학교,02-977-9176,단설,443,230,213,39,5,34,2025
B000001872,서울신묵초등학교,02-976-6211,단설,255,134,121,25,5,20,2025
B000001873,서울상봉초등학교,,단설,506,251,255,45,6,39,2025
B000001874,서울신현초등학교,0234210144,단설,375,200,175,35,2,33,2025
B000001875,서울신내초등학교,02-2207-0502,단설,531,250,281,46,6,40,2025
B000001876,서울중화초등학교,02-433-8993,단설,937,483,454,75,11,64,2025
B000001877,서울봉화초등학교,02-3421-0093,단설,417,216,201,37,5,32,2025
B000001878,서울묵동초등학교,02-433-5089,단설,311,182,129,32,3,29,2025
B000001879,서울중흥초등학교,02-495-2915,단설,238,130,108,23,4,19,2025
B000001880,금성초등학교,,단설,685,327,358,53,20,33,2025
B000001881,서울은빛초등학교,02-388-4924,단설,442,226,216,38,9,29,2025
B000001882,서울신도초등학교,02-352-2786,병설,778,396,382,62,11,51,2025
B000001883,서울은진초등학교,02-351-3691,단설,523,280,243,44,4,40,2025
B000001884,서울진관초등학교,023863396,단설,594,300,294,44,6,38,2025
B000001885,서울북한산초등학교,02-387-6720,단설,82,42,40,12,3,9,2025
B000001886,서울갈현초등학교,02-355-8971,단설,768,424,344,60,7,53,2025
B000001887,서울구현초등학교,02-352-5517,단설,457,236,221,38,8,30,2025
B000001888,서울구산초등학교,02-356-9693,단설,710,354,356,56,7,49,2025
B000001889,서울은평초등학교,02-355-6707,단설,831,421,410,68,5,63,2025
B000001890,서울녹번초등학교,02-386-0752,단설,643,321,322,49,5,44,2025
B000001891,서울수리초등학교,02-353-9431,단설,298,153,145,31,5,26,2025
B000001892,서울대조초등학교,,단설,648,343,305,51,10,41,2025
B000001893,서울연신초등학교,02-385-2613,단설,209,105,104,22,5,17,2025
B000001894,서울불광초등학교,02-355-5637,단설,588,309,279,51,3,48,2025
B000001895,서울연천초등학교,02-357-3913,단설,185,95,90,23,3,20,2025
B000001896,서울연광초등학교,02-353-4800,단설,160,83,77,25,3,22,2025
B000001897,서울수색초등학교,02-372-7705,단설,681,331,350,50,13,37,2025
B000001898,서울신사초등학교,02-373-9355,단설,322,151,171,36,4,32,2025
B000001899,서울서신초등학교,02-380-0006,병설,367,184,183,33,4,29,2025
B000001900,서울상신초등학교,02-309-3851,단설,533,266,267,46,5,41,2025
B000001901,서울역촌초등학교,02-359-0170,단설,1035,526,509,80,8,72,2025
B000001902,서울은명초등학교,02-359-9518,단설,1019,507,512,86,9,77,2025
B000001903,서울연은초등학교,02-302-2999,병설,665,334,331,44,9,35,2025
B000001904,서울응암초등학교,02-303-3044,단설,784,405,379,61,4,57,2025
B000001905,서울증산초등학교,,단설,622,332,290,53,9,44,2025
B000001906,서울대은초등학교,,단설,122,69,53,20,2,18,2025
B000001907,충암초등학교,02-303-3014,단설,670,338,332,29,11,18,2025
B000001908,선일초등학교,02-355-7655,단설,484,237,247,22,12,10,2025
B000001909,예일초등학교,02-380-0781,단설,475,231,244,41,6,35,2025
B000001912,서울미동초등학교,02-364-6525,단설,252,139,113,33,5,28,2025
B000001913,서울금화초등학교,02-364-9275,단설,436,211,225,40,3,37,2025
B000001914,서울홍은초등학교,02-391-0431,단설,301,160,141,38,1,37,2025
B000001915,서울홍제초등학교,02-396-7237,병설,748,369,379,56,8,48,2025
B000001916,서울북성초등학교,02-362-1290,단설,893,430,463,68,4,64,2025
B000001917,서울연가초등학교,02-372-5996,단설,1379,722,657,97,14,83,2025
B000001918,서울대신초등학교,02-363-1564,단설,152,66,86,22,2,20,2025
B000001919,서울북가좌초등학교,02-372-4376,단설,994,526,468,80,5,75,2025
B000001920,서울연희초등학교,,단설,591,278,313,56,6,50,2025
B000001921,서울창서초등학교,,단설,164,76,88,21,5,16,2025
B000001922,서울홍연초등학교,,단설,436,215,221,38,6,32,2025
B000001923,서울안산초등학교,02-735-3069,단설,564,304,260,58,5,53,2025
B000001924,서울인왕초등학교,02-394-3176,병설,527,255,272,45,10,35,2025
B000001925,서울고은초등학교,02-396-2654,단설,346,167,179,32,4,28,2025
B000001926,경기초등학교,,단설,578,286,292,28,14,14,2025
