학교ID,학교명,학교급구분,설립일자,설립형태,운영상태,소재지지번주소,소재지도로명주소,시도교육청명,교육지원청명,위도,경도
B000001838,서울휘경초등학교,초등학교,1959-10-10,공립,운영,서울특별시 동대문구 휘경동 302-2,서울특별시 동대문구 망우로6길 48,서울특별시교육청,서울특별시동부교육지원청,37.58573583,127.0582142
B000001839,서울동답초등학교,초등학교,1984-05-23,공립,운영,서울특별시 동대문구 답십리동 2-24,서울특별시 동대문구 답십리로60길 12,서울특별시교육청,서울특별시동부교육지원청,37.57150142,127.0640341
B000001840,서울답십리초등학교,초등학교,1962-11-29,공립,운영,서울특별시 동대문구 답십리동 274,서울특별시 동대문구 전농로3길 23,서울특별시교육청,서울특별시동부교육지원청,37.56880432,127.055427
B000001841,서울신답초등학교,초등학교,1972-05-09,공립,운영,서울특별시 동대문구 답십리동 463-13,서울특별시 동대문구 천호대로 177,서울특별시교육청,서울특별시동부교육지원청,37.57270461,127.0429617
B000001842,서울용두초등학교,초등학교,1948-11-01,공립,운영,서울특별시 동대문구 용두동 237-1,서울특별시 동대문구 천호대로13길 43,서울특별시교육청,서울특별시동부교육지원청,37.57641309,127.0283872
B000001843,서울이문초등학교,초등학교,1967-09-06,공립,운영,서울특별시 동대문구 이문동 164-26,서울특별시 동대문구 신이문로 16,서울특별시교육청,서울특별시동부교육지원청,37.60189649,127.064885
B000001844,서울군자초등학교,초등학교,1973-11-22,공립,운영,서울특별시 동대문구 장안동 239-2,서울특별시 동대문구 한천로6길 21,서울특별시교육청,서울특별시동부교육지원청,37.56412232,127.0605233
B000001845,서울장평초등학교,초등학교,1980-04-04,공립,운영,서울특별시 동대문구 장안동 323,서울특별시 동대문구 답십리로69길 27,서울특별시교육청,서울특별시동부교육지원청,37.57399502,127.073891
B000001846,서울안평초등학교,초등학교,1990-10-10,공립,운영,서울특별시 동대문구 장안동 353-1,서울특별시 동대문구 장한로14길 61,서울특별시교육청,서울특별시동부교육지원청,37.56596821,127.0720334
B000001847,서울배봉초등학교,초등학교,1971-10-08,공립,운영,서울특별시 동대문구 전농동 3-111,서울특별시 동대문구 사가정로 193,서울특별시교육청,서울특별시동부교육지원청,37.58008416,127.0668719
B000001848,서울전동초등학교,초등학교,1969-05-20,공립,운영,서울특별시 동대문구 전농동 45-41,서울특별시 동대문구 전농로16길 61,서울특별시교육청,서울특별시동부교육지원청,37.57908329,127.0608053
B000001849,서울전곡초등학교,초등학교,1961-04-06,공립,운영,서울특별시 동대문구 전농동 188,서울특별시 동대문구 전농로 172,서울특별시교육청,서울특별시동부교육지원청,37.58070429,127.0560124
B000001850,서울전농초등학교,초등학교,1942-04-08,공립,운영,서울특별시 동대문구 전농동 298,서울특별시 동대문구 사가정로 66,서울특별시교육청,서울특별시동부교육지원청,37.57473031,127.0543331
B000001851,서울홍파초등학교,초등학교,1960-07-05,공립,운영,서울특별시 동대문구 제기동 678,서울특별시 동대문구 고산자로 518,서울특별시교육청,서울특별시동부교육지원청,37.58622252,127.0395199
B000001852,서울종암초등학교,초등학교,1922-07-08,공립,운영,서울특별시 동대문구 제기동 1157,서울특별시 동대문구 무학로44길 25,서울특별시교육청,서울특별시동부교육지원청,37.58230741,127.0318564
B000001853,서울홍릉초등학교,초등학교,1967-11-30,공립,운영,서울특별시 동대문구 청량리동 206-44,서울특별시 동대문구 회기로 90,서울특별시교육청,서울특별시동부교육지원청,37.59068752,127.0477051
B000001854,서울청량초등학교,초등학교,1937-04-05,공립,운영,서울특별시 동대문구 회기동 1-1,서울특별시 동대문구 회기로25길 31,서울특별시교육청,서울특별시동부교육지원청,37.5923094,127.0559085
B000001855,서울휘봉초등학교,초등학교,2006-03-01,공립,운영,서울특별시 동대문구 휘경동 49-27,서울특별시 동대문구 장안벚꽃로 309,서울특별시교육청,서울특별시동부교육지원청,37.58567641,127.0700416
B000001856,경희초등학교,초등학교,1961-03-01,사립,운영,서울특별시 동대문구 회기동 1-5,서울특별시 동대문구 경희대로 26,서울특별시교육청,서울특별시동부교육지원청,37.59394914,127.054891
B000001857,서울삼육초등학교,초등학교,1913-10-01,사립,운영,서울특별시 동대문구 회기동 102-48,서울특별시 동대문구 회기로10길 63,서울특별시교육청,서울특별시동부교육지원청,37.5887715,127.0471713
B000001858,은석초등학교,초등학교,1963-04-16,사립,운영,서울특별시 동대문구 장안동 328,서울특별시 동대문구 장안벚꽃로 205,서울특별시교육청,서울특별시동부교육지원청,37.57855999,127.0757616
B000001859,서울면목초등학교,초등학교,1944-11-12,공립,운영,서울특별시 중랑구 면목동 221,서울특별시 중랑구 면목로 434,서울특별시교육청,서울특별시동부교육지원청,37.5906966,127.0872878
B000001860,서울면남초등학교,초등학교,1983-10-19,공립,운영,서울특별시 중랑구 면목동 583-15,서울특별시 중랑구 면목로30나길 38,서울특별시교육청,서울특별시동부교육지원청,37.57725972,127.0876664
B000001861,서울동원초등학교,초등학교,1991-03-01,공립,운영,서울특별시 중랑구 망우동 216,서울특별시 중랑구 송림길 114,서울특별시교육청,서울특별시동부교육지원청,37.60457824,127.1044913
B000001862,서울면북초등학교,초등학교,1983-10-26,공립,운영,서울특별시 중랑구 망우동 119,서울특별시 중랑구 용마공원로5길 32,서울특별시교육청,서울특별시동부교육지원청,37.59441816,127.1035478
B000001863,서울망우초등학교,초등학교,1977-03-01,공립,운영,서울특별시 중랑구 망우동 153-1,서울특별시 중랑구 망우로72길 49,서울특별시교육청,서울특별시동부교육지원청,37.59873698,127.1038418
B000001864,서울면일초등학교,초등학교,1983-04-21,공립,운영,서울특별시 중랑구 망우동 440,서울특별시 중랑구 용마산로100길 13,서울특별시교육청,서울특별시동부교육지원청,37.5920416,127.0997947
B000001866,서울중곡초등학교,초등학교,1967-09-05,공립,운영,서울특별시 중랑구 면목동 380,서울특별시 중랑구 면목로23길 20,서울특별시교육청,서울특별시동부교육지원청,37.57489173,127.083439
B000001867,서울면동초등학교,초등학교,1978-09-01,공립,운영,서울특별시 중랑구 면목동 551,서울특별시 중랑구 면목로57길 32,서울특별시교육청,서울특별시동부교육지원청,37.58535152,127.0865922
B000001868,서울중목초등학교,초등학교,1997-09-01,공립,운영,서울특별시 중랑구 면목동 180-5,서울특별시 중랑구 동일로 665,서울특별시교육청,서울특별시동부교육지원청,37.59008735,127.0793361
B000001869,서울중랑초등학교,초등학교,1972-05-08,공립,운영,서울특별시 중랑구 면목동 192-1,서울특별시 중랑구 봉우재로6길 26,서울특별시교육청,서울특별시동부교육지원청,37.58966282,127.0755035
B000001870,서울원묵초등학교,초등학교,1995-09-01,공립,운영,서울특별시 중랑구 묵동 11,서울특별시 중랑구 숙선옹주로 109,서울특별시교육청,서울특별시동부교육지원청,37.61774881,127.0868142
B000001871,서울묵현초등학교,초등학교,2004-09-01,공립,운영,서울특별시 중랑구 묵동 242-55,서울특별시 중랑구 동일로157길 75,서울특별시교육청,서울특별시동부교육지원청,37.60908041,127.0736243
B000001872,서울신묵초등학교,초등학교,1984-12-05,공립,운영,서울특별시 중랑구 묵동 246-12,서울특별시 중랑구 동일로149길 46,서울특별시교육청,서울특별시동부교육지원청,37.60652285,127.0758358
B000001873,서울상봉초등학교,초등학교,1983-10-25,공립,운영,서울특별시 중랑구 상봉동 312-1,서울특별시 중랑구 동일로126가길 11,서울특별시교육청,서울특별시동부교육지원청,37.59797895,127.0831714
B000001874,서울신현초등학교,초등학교,1996-03-01,공립,운영,서울특별시 중랑구 신내동 663,서울특별시 중랑구 봉화산로 188,서울특별시교육청,서울특별시동부교육지원청,37.60581459,127.0935852
B000001875,서울신내초등학교,초등학교,1994-03-01,공립,운영,서울특별시 중랑구 신내동 444,서울특별시 중랑구 용마산로125나길 22,서울특별시교육청,서울특별시동부교육지원청,37.60493422,127.1001285
B000001876,서울중화초등학교,초등학교,1946-11-07,공립,운영,서울특별시 중랑구 신내동 531,서울특별시 중랑구 신내로7가길 22,서울특별시교육청,서울특별시동부교육지원청,37.60292163,127.094065
B000001877,서울봉화초등학교,초등학교,1996-09-19,공립,운영,서울특별시 중랑구 신내동 655,서울특별시 중랑구 신내로15길 110,서울특별시교육청,서울특별시동부교육지원청,37.61357623,127.0924085
B000001878,서울묵동초등학교,초등학교,1972-12-03,공립,운영,서울특별시 중랑구 중화동 277-1,서울특별시 중랑구 동일로138길 27,서울특별시교육청,서울특별시동부교육지원청,37.60335949,127.0808272
B000001879,서울중흥초등학교,초등학교,1999-09-01,공립,운영,서울특별시 중랑구 중화동 119,서울특별시 중랑구 봉화산로 82,서울특별시교육청,서울특별시동부교육지원청,37.60167188,127.0841422
B000001880,금성초등학교,초등학교,1965-06-26,사립,운영,서울특별시 중랑구 신내동 651,서울특별시 중랑구 신내로21길 55,서울특별시교육청,서울특별시동부교육지원청,37.61531513,127.0898585
B000001881,서울은빛초등학교,초등학교,2011-03-01,공립,운영,서울특별시 은평구 진관동 23,서울특별시 은평구 진관3로 73-17,서울특별시교육청,서울특별시서부교육지원청,37.64153447,126.921856
B000001882,서울신도초등학교,초등학교,1928-12-01,공립,운영,서울특별시 은평구 진관동 108,서울특별시 은평구 진관1로 77-23,서울특별시교육청,서울특별시서부교육지원청,37.63296389,126.9291989
