역번호,역사명,노선번호,노선명,역위도,역경도
1801,개봉역,I1101,경인선,37.494698,126.858504
1802,오류동역,I1101,경인선,37.4944,126.844551
1803,역곡역,I1101,경인선,37.48514,126.811622
1804,부천역,I1101,경인선,37.484066,126.782779
1805,송내역,I1101,경인선,37.487626,126.753045
1806,부평역,I1101,경인선,37.489457,126.724584
1807,백운역,I1101,경인선,37.483301,126.707179
1808,동암역,I1101,경인선,37.470835,126.703016
1809,주안역,I1101,경인선,37.465041,126.680702
1809,주안역,I1101,경인선,37.465041,126.680702
1810,제물포역,I1101,경인선,37.466809,126.657165
1811,동인천역,I1101,경인선,37.475414,126.632598
1812,인천역,I1101,경인선,37.476364,126.616936
1813,구일역,I1101,경인선,37.495973,126.869201
1815,부개역,I1101,경인선,37.488479,126.740549
1816,간석역,I1101,경인선,37.464689,126.693408
1817,도원역,I1101,경인선,37.468604,126.642824
1821,온수역,I1101,경인선,37.492267,126.823399
1822,중동역,I1101,경인선,37.486664,126.764474
1823,도화역,I1101,경인선,37.466154,126.66846
4804,소사역,I1101,경인선,37.482755,126.795654
0319,지축,I1103,3호선,37.648151,126.913751
0320,구파발,I1103,3호선,37.636612,126.918827
0321,연신내,I1103,3호선,37.619295,126.920959
0322,불광,I1103,3호선,37.610154,126.930183
0323,녹번,I1103,3호선,37.600882,126.935758
0324,홍제,I1103,3호선,37.588851,126.944092
0325,무악재,I1103,3호선,37.582658,126.950131
0326,독립문,I1103,3호선,37.574534,126.957902
0327,경복궁(정부서울청사),I1103,3호선,37.575844,126.973576
0328,안국,I1103,3호선,37.576562,126.98547
0329,종로3가,I1103,3호선,37.571537,126.991837
0330,을지로3가,I1103,3호선,37.566299,126.992616
0331,충무로,I1103,3호선,37.561382,126.994173
0332,동대입구,I1103,3호선,37.55906,127.005273
0333,약수,I1103,3호선,37.554554,127.010858
0334,금호,I1103,3호선,37.548269,127.015785
0335,옥수,I1103,3호선,37.541653,127.017303
0336,압구정,I1103,3호선,37.526169,127.028502
0337,신사,I1103,3호선,37.516438,127.020247
0338,잠원,I1103,3호선,37.512989,127.011613
0339,고속터미널,I1103,3호선,37.504953,127.004916
0340,교대(법원·검찰청),I1103,3호선,37.49306,127.013796
0341,남부터미널(예술의전당),I1103,3호선,37.48494,127.016289
0342,양재(서초구청),I1103,3호선,37.48458,127.03423
0343,매봉,I1103,3호선,37.487114,127.046907
0344,도곡,I1103,3호선,37.491129,127.055694
0345,대치,I1103,3호선,37.494601,127.063449
0346,학여울,I1103,3호선,37.496787,127.0708601
0347,대청,I1103,3호선,37.493607,127.079526
0348,일원,I1103,3호선,37.48389,127.08416
0349,수서,I1103,3호선,37.4875,127.101924
0350,가락시장,I1103,3호선,37.492318,127.1177
0351,경찰병원,I1103,3호선,37.495754,127.124198
0352,오금,I1103,3호선,37.502288,127.128344
0409,불암산,I1104,4호선,37.67009,127.079004
0410,상계,I1104,4호선,37.660576,127.073199
0411,노원,I1104,4호선,37.656274,127.063183
0412,창동,I1104,4호선,37.653315,127.048304
0413,쌍문,I1104,4호선,37.648274,127.034381
0414,수유(강북구청),I1104,4호선,37.637727,127.025371
0415,미아(서울사이버대학),I1104,4호선,37.626435,127.026151
0416,미아사거리,I1104,4호선,37.613276,127.030083
0417,길음,I1104,4호선,37.603387,127.025053
0418,성신여대입구(돈암),I1104,4호선,37.592882,127.016908
0419,한성대입구(삼선교),I1104,4호선,37.58838,127.005951
0420,혜화,I1104,4호선,37.582116,127.001929
0421,동대문,I1104,4호선,37.57099,127.00925
0422,동대문역사문화공원(DDP),I1104,4호선,37.565141,127.007808
0423,충무로,I1104,4호선,37.561352,126.994573
0424,명동,I1104,4호선,37.560955,126.986271
0425,회현(남대문시장),I1104,4호선,37.558698,126.978346
0426,서울역,I1104,4호선,37.553172,126.972706
0427,숙대입구(갈월),I1104,4호선,37.5447834,126.9721
0428,삼각지(전쟁기념관),I1104,4호선,37.534457,126.972992
0429,신용산,I1104,4호선,37.52909,126.96788
0430,이촌(국립중앙박물관),I1104,4호선,37.52919,126.9679818
0431,동작(현충원),I1104,4호선,37.503567,126.980171
0432,총신대입구(이수),I1104,4호선,37.487521,126.982309
0433,사당,I1104,4호선,37.476263,126.981636
0434,남태령,I1104,4호선,37.464339,126.989081
D004,신사,I11D1,신분당선,37.5161252633129,127.019760916726
D005,논현,I11D1,신분당선,37.5111153846379,127.021365807131
D006,신논현,I11D1,신분당선,37.504555429592,127.024530640799
D007,강남,I11D1,신분당선,37.4973854397871,127.02787893753
D008,양재(서초구청),I11D1,신분당선,37.4844535239588,127.034099452522
D009,양재시민의숲(매헌),I11D1,신분당선,37.4709638768813,127.038420263319
D010,청계산입구,I11D1,신분당선,37.4487148450701,127.054339616958
